Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6
71U0506,416452,422250,3,43860,1510,Motorway,Wet / damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,22,Car,Not known,Not known,Not known,Not known,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,
71U0780,409428,425082,1,43860,1250,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Serious,Female,78,,,,,,,,,,,,,,,,,,,,,,,,,
71V0674,409237,425088,1,43861,1155,Unclassified,Wet / damp,Daylight: street lights present,Fine with high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Serious,Female,90,,,,,,,,,,,,,,,,,,,,,,,,,
71V1044,416406,422150,4,43861,1454,Motorway,Dry,Daylight: street lights present,Fine with high winds,Car,Driver or rider,Slight,Male,67,Car,Driver or rider,Slight,Male,46,Car,Not known,Not known,Not known,Not known,Car,Not known,Not known,Not known,Not known,,,,,,,,,,
7230659,404698,430490,1,43864,1219,Unclassified,Wet / damp,Daylight: street lights present,Fine with high winds,Car,Driver or rider,Serious,Male,14,,Vehicle or pillion passenger,Slight,Male,16,,,,,,,,,,,,,,,,,,,,
7260781,409001,426373,2,43867,1305,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,45,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7261097,407747,427861,2,43867,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7280230,415284,422743,1,43869,0200,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,18,,,,,,,,,,,,,,,,,,,,,,,,,
7292178,416385,422148,1,43870,2351,Motorway,Wet / damp,Darkness: street lights present and lit,Raining with high winds,Car,Driver or rider,Slight,Female,23,,,,,,,,,,,,,,,,,,,,,,,,,
72A0091,403885,416552,1,43871,0259,Motorway,Wet / damp,Darkness: street lights present and lit,Raining with high winds,Car,Driver or rider,Slight,Male,48,,,,,,,,,,,,,,,,,,,,,,,,,
72C1002,407354,425949,2,43873,1933,Unclassified,Snow,Daylight: street lights present,Snowing with high winds,Car,Driver or rider,Slight,Male,40,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
72H1437,407401,425925,2,43878,1849,Unclassified,Wet / damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,37,Goods vehicle 3.5 tonnes mgw and under,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
72I0434,414534,422881,1,43879,0950,Unclassified,Wet / damp,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Serious,Female,72,,,,,,,,,,,,,,,,,,,,,,,,,
72I1029,414759,423012,2,43879,1517,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,63,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
72L1362,408435,425601,1,43882,1815,Unclassified,Wet / damp,Darkness: street lights present and lit,Raining with high winds,Car,Pedestrian,Serious,Female,65,,,,,,,,,,,,,,,,,,,,,,,,,
72P0106,410599,421399,1,43886,0450,Unclassified,Wet / damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Fatal,Male,43,,,,,,,,,,,,,,,,,,,,,,,,,
72R0352,408795,422555,1,43888,0900,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Female,41,,,,,,,,,,,,,,,,,,,,,,,,,
72S0929,414622,422790,1,43889,1430,Unclassified,Wet / damp,Daylight: street lights present,Raining without high winds,Taxi/Private hire car,Pedestrian,Serious,Female,85,,,,,,,,,,,,,,,,,,,,,,,,,
7320567,409594,422354,3,43892,1127,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,52,Car,Not known,Not known,Not known,Not known,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,
7360354,410802,426265,2,43896,0910,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,37,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7360373,410940,420665,2,43896,0930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,22,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7370968,412786,420307,4,43897,1420,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,51,Car,Vehicle or pillion passenger,Slight,Female,56,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,51,Car,Vehicle or pillion passenger,Slight,Female,24,,,,,,,,,,
7381284,407165,428177,2,43898,1731,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,25,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7381475,406974,429774,2,43898,1910,A,Wet / damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,58,Car,Vehicle or pillion passenger,Slight,Male,25,,,,,,,,,,,,,,,,,,,,
7390799,414158,423884,2,43899,1325,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,26,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
73A1143,407793,424891,1,43900,1602,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,29,,,,,,,,,,,,,,,,,,,,,,,,,
73F0617,409851,425691,1,43905,1141,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,81,,,,,,,,,,,,,,,,,,,,,,,,,
73G0133,406067,424508,2,43906,0245,A,Wet / damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Female,29,Car,Driver or rider,Serious,Male,45,,,,,,,,,,,,,,,,,,,,
73I0318,408889,424691,1,43908,0855,Unclassified,Wet / damp,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Female,63,,,,,,,,,,,,,,,,,,,,,,,,,
73N0890,407755,425828,2,43913,1539,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,68,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
73P1523,408447,419719,2,43904,1800,B,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,28,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
73Q1706,407818,424187,2,43916,1930,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,18,Car,Driver or rider,Slight,Male,43,,Vehicle or pillion passenger,Slight,Female,11,,Vehicle or pillion passenger,Slight,Female,12,,,,,,,,,,
73S1083,407111,428401,2,43918,1700,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,51,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
73U0958,407102,426082,5,43920,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Male,27,Goods vehicle 3.5 tonnes mgw and under,Not known,Not known,Not known,Not known,Car,Not known,Not known,Not known,Not known,Car,Not known,Not known,Not known,Not known,Car,Not known,Not known,Not known,Not known,,,,,
7441946,408449,428698,1,43925,2330,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,27,,,,,,,,,,,,,,,,,,,,,,,,,
7451499,410165,421395,1,43926,1810,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,39,,,,,,,,,,,,,,,,,,,,,,,,,
74B2571,410385,419807,2,43932,1830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,41,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
74C1054,405702,424841,1,43933,1146,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,67,,Pedestrian,Slight,Male,52,,,,,,,,,,,,,,,,,,,,
74D0204,409469,424199,1,43934,0540,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,35,,,,,,,,,,,,,,,,,,,,,,,,,
74O1160,409315,424556,2,43945,1501,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,48,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
74R1681,407643,425254,1,43948,1845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,42,,,,,,,,,,,,,,,,,,,,,,,,,
7510663,409148,424680,2,43952,1215,Unclassified,Wet  / damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,25,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7551165,391597,425705,1,43956,1628,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,13,,,,,,,,,,,,,,,,,,,,,,,,,
7560523,411426,427104,2,43958,1510,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,61,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7571072,410653,424290,2,43958,1440,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,31,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7590684,392323,425517,2,43960,1030,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Fatal,Male,54,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
75B1080,412792,424368,2,43962,1646,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,22,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
75B1470,414046,421978,2,43962,1958,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,58,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
75C0454,406999,423712,1,43963,1100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,76,,,,,,,,,,,,,,,,,,,,,,,,,
75H2003,407930,424757,1,43968,2300,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,46,,,,,,,,,,,,,,,,,,,,,,,,,
75I1803,407194,428152,1,43969,2240,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,19,,,,,,,,,,,,,,,,,,,,,,,,,
75K0729,414695,423131,1,43971,1229,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,3,,,,,,,,,,,,,,,,,,,,,,,,,
75K1083,408285,425470,1,43971,1511,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,5,,,,,,,,,,,,,,,,,,,,,,,,,
75L2003,413689,423258,2,43972,2009,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,20,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,49,,,,,,,,,,,,,,,,,,,,
75Q1232,396939,429588,2,43976,1930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,19,Car,Vehicle or pillion passenger,Slight,Female,21,,,,,,,,,,,,,,,,,,,,
75V0944,407579,427791,2,43982,1300,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious,Male,63,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7620548,410998,419544,2,43984,1047,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,49,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7641954,416387,422225,2,43986,2320,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,55,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7660369,409648,422410,2,43988,0905,A,Wet / damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,25,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7660443,393069,422749,2,43988,1000,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,18,Motorcycle over 50cc and up to 125cc,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7661330,403456,418402,3,43988,1630,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,27,Car,Not known,Not known,Not known,Not known,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,
76A1039,408556,424437,2,43992,1612,Unclassified,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,21,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
76C1427,406764,428334,2,43994,1953,Unclassified,Wet / damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Serious,Female,46,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
76D0966,404029,419867,2,43995,1519,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,25,Car,Vehicle or pillion passenger,Slight,Female,20,,Vehicle or pillion passenger,Slight,Female,11,,,,,,,,,,,,,,,
76E1810,406946,430908,2,43996,1815,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,56,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
76G0844,406910,425686,2,43998,1327,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,34,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
76H0690,412645,428915,2,43999,1231,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,35,Car,Vehicle or pillion passenger,Slight,Female,37,,Vehicle or pillion passenger,Slight,Male,9,,,,,,,,,,,,,,,
76H1182,410068,423117,2,43999,1614,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,32,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
76I0869,407716,425901,2,44000,1428,Unclassified,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,30,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
76K1244,412838,425600,2,44002,1611,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,54,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
76N1235,413345,423405,1,44005,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Pedestrian,Slight,Male,54,,,,,,,,,,,,,,,,,,,,,,,,,
76N1459,407020,425622,2,44005,1800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Vehicle or pillion passenger,Serious,Male,25,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
76O1664,414295,422903,2,44006,1814,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,30,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
76P0599,412172,422460,2,44006,1650,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,43,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
76Q0671,394203,424237,2,44008,1020,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,66,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
76S0837,407119,426805,2,44010,1214,Unclassified,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,63,Car,Vehicle or pillion passenger,Slight,Male,65,,Vehicle or pillion passenger,Slight,Female,15,,,,,,,,,,,,,,,
7711423,408155,425413,1,44013,1850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,11,,,,,,,,,,,,,,,,,,,,,,,,,
7731870,407912,424910,1,44015,2155,Unclassified,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Pedestrian,Slight,Female,44,,Pedestrian,Slight,Female,44,,,,,,,,,,,,,,,,,,,,
7750187,403872,425447,1,44016,1130,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Female,76,,,,,,,,,,,,,,,,,,,,,,,,,
7750758,416753,422110,3,44017,1030,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,53,Motorcycle over 500cc,Not known,Not known,Not known,Not known,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,
7751323,399557,421116,1,44017,1530,B,Wet / damp,Daylight: street lights present,Raining with high winds,Car,Driver or rider,Slight,Male,50,,,,,,,,,,,,,,,,,,,,,,,,,
7760934,409749,422948,2,44018,1400,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,25,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7781315,412525,428840,2,44020,1828,A,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,45,Taxi/Private hire car,Driver or rider,Slight,Male,41,,,,,,,,,,,,,,,,,,,,
77B1045,414834,422946,1,44023,1505,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,12,,,,,,,,,,,,,,,,,,,,,,,,,
77F1162,417764,421108,6,44027,1622,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,32,Car,Driver or rider,Slight,Female,46,Car,Driver or rider,Slight,Male,46,Car,Not known,Not known,Not known,Not known,Car,Not known,Not known,Not known,Not known,Car,Not known,Not known,Not known,Not known
77G0583,409384,424021,2,44028,1147,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,64,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
77G0872,413767,421962,3,44028,1422,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,62,Car,Vehicle or pillion passenger,Slight,Male,25,Car,,,,,,,,,,,,,,,,,,,
77G1494,411078,421246,2,44028,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Driver or rider,Slight,Male,15,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
77H0105,414682,422969,2,44029,0107,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Fatal,Male,24,Car,Vehicle or pillion passenger,Fatal,Male,20,,,,,,,,,,,,,,,,,,,,
77I0514,407118,428571,2,44030,0726,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,56,Goods vehicle 3.5 tonnes mgw and under,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
77I1280,408522,426522,2,44030,1555,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,37,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
77J0987,409122,423333,2,44031,1355,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,7,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
77J1067,393392,421446,2,44031,1442,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,55,Car,Driver or rider,Slight,Male,45,,Vehicle or pillion passenger,Slight,Male,17,,,,,,,,,,,,,,,
77K1281,409038,428060,2,44032,1647,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,50,Goods vehicle 7.5 tonnes mgw and over,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
77L0074,408491,425576,2,44033,2115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,12,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
77M1418,413364,425902,2,44034,1745,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,51,Car,Vehicle or pillion passenger,Slight,Female,73,,,,,,,,,,,,,,,,,,,,
77O0733,409822,421582,2,43908,0742,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,30,Car,Driver or rider,Slight,Female,43,,,,,,,,,,,,,,,,,,,,
77P1108,416387,422222,2,44037,1503,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,64,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
77V1945,407755,425533,2,44043,2014,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,45,Car,Driver or rider,Slight,Male,44,,,,,,,,,,,,,,,,,,,,
7821036,407002,427615,2,44045,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,13,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7821380,408838,425437,2,44045,1605,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,34,Car,Vehicle or pillion passenger,Slight,Female,12,,,,,,,,,,,,,,,,,,,,
7821714,410799,421056,1,44045,1850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,13,,,,,,,,,,,,,,,,,,,,,,,,,
7821735,401208,425829,2,44045,1735,B,Wet / damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
