DfE number,Establishment,Phase,Status,Head title,Head name,Address 1,Address 2,Address 3,Address 4,Postcode,School ward,Telephone,Website,Nursery,Number of pupils on roll,Census date,Eastings,Northings,Latitude,Longitude,Cluster,Trust name,Sponsor name,Federation name,UPRN
3331,"Holy Trinity Primary School, A Church of England Academy",Primary,Academy converter,Headteacher,Sarah Huby,Savile Park Road,,,Halifax,HX1 2ES,Skircoat,01422 367161,http://www.holytrinitycofecalderdale.org.uk/,Yes,422,45309,408673,424602,53.717829,-1.870043,North Halifax,"HOLY TRINITY PRIMARY SCHOOL, A CHURCH OF ENGLAND ACADEMY",,,010006742912
2050,Holywell Green Primary School,Primary,Community school,Headteacher,Mr Robert Cook,Stainland Road,Holywell Green,,Halifax,HX4 9AE,Greetland and Stainland,01422 374369,http://www.holywellgreenschool.co.uk,No,155,45309,408618,419761,53.674265,-1.871024,Elland,,,,010010181822
2010,Lee Mount Academy,Primary,Academy converter,Headteacher,Mrs Lesley Heathcote,Lee Mount Road,Lee Mount,,Halifax,HX3 5EB,Ovenden,01422 352856,http://www.leemount.calderdale.sch.uk/,Yes,297,45309,408189,426254,53.732631,-1.87735,North Halifax,IMPACT EDUCATION MULTI ACADEMY TRUST,Impact Education Multi Academy Trust,,100052041001
5404,Lightcliffe Academy,Secondary,Academy sponsor led,Principal,Mrs Joanne Hackett,Stoney Lane,Lightcliffe,,Halifax,HX3 8TL,Hipperholme and Lightcliffe,01422 201028,http://www.lightcliffeacademy.co.uk/,No,916,45309,413993,425148,53.722568,-1.78942,Secondary,ABBEY MULTI ACADEMY TRUST,Abbey Multi Academy Trust,,100052041768
5204,Lightcliffe C of E Primary School,Primary,Academy converter,Headteacher,Adelle Hustler Kate Dunkley,Wakefield Road,Lightcliffe,,Halifax,HX3 8SH,Hipperholme and Lightcliffe,01422 202235,http://www.lightcliffeceprimary.co.uk/,No,411,45309,413358,425525,53.725973,-1.799029,East Calderdale,ABBEY MULTI ACADEMY TRUST,Abbey Multi Academy Trust,,010006732794
2033,"Ling Bob Junior, Infant and Nursery School",Primary,Community school,Headteacher,Mrs Emmeline Ford,Albert Road,Pellon,,Halifax,HX2 0QD,Warley,01422 434000,http://www.lingbob.calderdale.sch.uk,Yes,352,45309,406816,425747,53.728094,-1.898177,North Halifax,,,,100052218650
5207,Longroyde Primary School,Primary,Foundation school,Executive Headteacher,Miss Danielle Parry,Longroyde Road,Rastrick,,Brighouse,HD6 3AS,Rastrick,01484 715300,http://www.longroyde.org.uk,Yes,390,45309,413978,422285,53.696836,-1.789777,East Calderdale,,,,010010188522
2038,Luddenden CofE School,Primary,Academy sponsor led,Headteacher,Mrs Lisa Hoyle,Dene View,Luddendenfoot,,Halifax,HX2 6PB,Luddendenfoot,01422 886353,http://www.luddenden-ce.uk,Yes,105,45309,403964,425610,53.726891,-1.941401,Calder Valley,LEARNING ACCORD MULTI ACADEMY TRUST,Learning Accord Multi Academy Trust,,010006745837
2064,Luddendenfoot Academy,Primary,Academy converter,Headteacher,Mrs Carolyn Greenwood,Burnley Road,Luddendenfoot,,Halifax,HX2 6AU,Luddendenfoot,01422 882298,http://www.luddfoot.polarismat.org.uk,No,194,45309,404092,424428,53.716263,-1.939482,Calder Valley,POLARIS MULTI ACADEMY TRUST,Polaris Multi Academy Trust,,010010152479
2065,Midgley School,Primary,Community school,Headteacher,Miss Joanne Mansfield,Lane Ends,Midgley,,Halifax,HX2 6TX,Luddendenfoot,01422 882356,http://www.midgleyschool.org.uk/,No,70,45309,403463,426256,53.732701,-1.948987,Calder Valley,,,,010006746000
3332,Moorside Community Primary School,Primary,Community school,,Mrs Heidi Higgs,Keighley Road,Ovenden,,Halifax,HX2 8AP,Ovenden,01422 365236,http://www.moorside-primary.org.uk/,Yes,222,45309,407786,427576,53.745032,-1.883955,North Halifax,,,,100052040012
2002,Mount Pellon Primary Academy,Primary,Academy sponsor led,,Mrs Ruth Collyer,Battinson Road,,,Halifax,HX1 4RG,Warley,01422 349618,https://mpa.northerneducationtrust.org/,Yes,316,45309,407662,425632,53.727049,-1.885353,North Halifax,NORTHERN EDUCATION TRUST,Northern Education Trust,,100052038947
2066,New Road Primary School,Primary,Community school,Headteacher,Mrs Sharon Harwood,Sowerby New Road,,,Sowerby Bridge,HX6 1DY,Sowerby Bridge,01422 831351,http://www.newroadprimarycalderdale.org.uk,No,172,45309,405454,423390,53.706925,-1.918856,Sowerby Bridge,,,,010006749070
3010,Norland CE School,Primary,Voluntary controlled school,Headteacher,Mrs Yvette Sullivan,Berry Moor Road,Norland,,Sowerby Bridge,HX6 3RN,Greetland and Stainland,01422 831602,http://www.norland.calderdale.sch.uk,No,75,45309,406601,422632,53.700101,-1.901491,Sowerby Bridge,,,,010006746585
2015,Northowram Primary School,Primary,Community school,Headteacher,Mrs Jane Scardifield,Baxter Lane,Northowram,,Halifax,HX3 7EF,Northowram and Shelf,01422 202704,http://northowram.calderdale.sch.uk/,Yes,452,45309,411133,427202,53.741095,-1.832689,East Calderdale,,,,100052218688
2083,Old Earth Primary School,Primary,Academy converter,Headteacher,Mr Daniel Burns,Lower Edge Road,,,Elland,HX5 9PL,Elland,01422 375316,http://www.oldearth.co.uk/,Yes,461,45309,412026,421347,53.688453,-1.819376,Elland,OLD EARTH SCHOOL,,,010035032990
2075,Old Town Primary School,Primary,Community school,Headteacher,Mrs Joanne Buckley,Billy Lane,Wadsworth,,Hebden Bridge,HX7 8RY,Calder,01422 842859,http://www.oldtown.calderdale.sch.uk,No,78,45309,400326,428200,53.750189,-1.996533,Calder Valley,,,,010010161606
4004,Park Lane Academy,Secondary,Academy sponsor led,,Mr Stuart Hillary,Park Lane,Exley,,Halifax,HX3 9LG,Town,01422 362215,http://parklane.org.uk/,No,430,45309,410099,422407,53.698018,-1.848514,Secondary,SOUTH PENNINE ACADEMIES,SOUTH PENNINE ACADEMIES,,100052041813
2017,Parkinson Lane Community Primary School,Primary,Community school,Headteacher,Mr Gulfaraz Ahmed,Parkinson Lane,,Parkinson Lane Community Primary School,Halifax,HX1 3XL,Park,01422 362227,www.parkinsonlane.com,Yes,563,45309,408069,424595,53.717722,-1.879211,Todmorden,,,,010010180286
5402,Rastrick High School,Secondary,Academy converter,Headteacher,Mr Mathew Williams,Field Top Road,Rastrick,,Brighouse,HD6 3XB,Rastrick,01484 710235,http://www.rastrick.polarismat.org.uk,No,1776,45309,413852,422236,53.696399,-1.791688,Secondary,POLARIS MULTI ACADEMY TRUST,Polaris Multi Academy Trust,,100051997311
7009,Ravenscliffe High School,Special secondary,Community special school,Headteacher,Dr Christine Lingard,Skircoat Green,,,Halifax,HX3 0RZ,Skircoat,01422 358621,http://www.ravenscliffe.calderdale.sch.uk,No,250,45309,408991,422848,53.702005,-1.865286,Special,,,,010006743060
2061,Ripponden Junior and Infant School,Primary,Community school,Headteacher,Mrs Lorraine Bamforth,Halifax Road,Ripponden,,Sowerby Bridge,HX6 4AH,Ryburn,01422 823362,www.ripponden.calderdale.sch.uk,No,187,45309,404209,420040,53.676829,-1.937758,Sowerby Bridge,,,,010006747512
2082,Riverside Junior School,Primary,Community school,Headteacher,Ms Lucy Caswell,Holme Street,,,Hebden Bridge,HX7 8EE,Calder,01422 842154,www.riversidejunior.co.uk/,No,126,45309,399134,427133,53.740597,-2.014611,Calder Valley,,,Hebden Bridge Schools Federation,100052044286
5408,Ryburn Valley High School,Secondary,Academy converter,Headteacher,Mrs Donna Watkins,St Peter's Avenue,Sowerby,,Sowerby Bridge,HX6 1DF,Ryburn,01422 832070,http://www.rvhs.co.uk/,No,1645,45309,404605,422971,53.703166,-1.931724,Secondary,TOGETHER LEARNING TRUST,Together Learning Trust,,100052234151
3328,Sacred Heart Catholic Voluntary Academy,Primary,Academy converter,Headteacher,Mrs Sue McManamin,St Peter's Avenue,,,Sowerby Bridge,HX6 1BL,Ryburn,01422 831360,http://www.sacredheart.calderdale.sch.uk/,No,177,45309,405206,423217,53.705372,-1.922616,Sowerby Bridge,BLESSED PETER SNOW CATHOLIC ACADEMY TRUST,,,100052043041
2021,Salterhebble Junior and Infant School,Primary,Community school,Headteacher,Mrs Caroline Bullard,Stafford Square,,,Halifax,HX3 0AU,Skircoat,01422 252004,www.salterhebble.calderdale.sch.uk/,No,205,45309,409587,423426,53.70719,-1.856245,East Calderdale,,,,100052040752
5200,Salterlee Primary School,Primary,Academy converter,Headteacher,Mrs Lucy Harper,Kell Lane,Shibden,,Halifax,HX3 7AY,Northowram and Shelf,01422 365464,https://salterlee.polarismat.org.uk/,No,92,45309,410633,426873,53.738151,-1.840282,East Calderdale,POLARIS MULTI ACADEMY TRUST,Polaris Multi Academy Trust,,010006741810
2009,Savile Park Primary School,Primary,Community school,Headteacher,Mrs Jane Boylan,Moorfield Street,,,Halifax,HX1 3ER,Skircoat,01422 352844,http://savileparkprimary.org.uk,No,369,45309,408219,424168,53.713885,-1.876956,North Halifax,,,,100052219215
2056,Scout Road Academy,Primary,Academy converter,Headteacher,Mrs Gina Blagbrough,Scout Road,Mytholmyroyd,,Hebden Bridge,HX7 5JR,Luddendenfoot,01422 883327,www.scoutroadacademy.org.uk/,No,99,45309,401726,425636,53.727134,-1.975317,Calder Valley,TOGETHER LEARNING TRUST,Together Learning Trust,,100052043893
2073,Shade Primary School,Primary,Community school,Headteacher,Miss Mollie McCracken,Knowlwood Road,Shade,,Todmorden,OL14 7PD,Todmorden,01706 812913,http://www.shade.calderdale.sch.uk,Yes,182,45309,393136,423252,53.705665,-2.105458,Todmorden,,,,010006750530
2060,Shelf Junior and Infant School,Primary,Community school,Headteacher,Mrs Jill Elam,Shelf Hall Lane,Shelf,,Halifax,HX3 7LT,Northowram and Shelf,01274 676782,http://www.shelfjandi.com/,No,235,45309,411974,428253,53.750529,-1.819906,East Calderdale,,,,010006747993
2094,Siddal Primary School,Primary,Academy converter,Headteacher,Mrs Lucy Aaron,Backhold Lane,Siddal,,Halifax,HX3 9DL,Town,01422 354976,https://siddal.polarismat.org.uk/,Yes,195,45309,410169,423042,53.703724,-1.847439,Elland,POLARIS MULTI ACADEMY TRUST,Polaris Multi Academy Trust,,010010176436
3315,St Andrew's Church of England (VA) Infant School,Primary,Voluntary aided school,Headteacher,Mrs Karen Smith,Lightcliffe Road,,,Brighouse,HD6 2HH,Brighouse,01484 714964,http://www.st-andrews-inf.calderdale.sch.uk,No,166,45309,414118,423641,53.70902,-1.787596,East Calderdale,,,,100051997018
3314,St Andrew's CofE (VA) Junior School,Primary,Voluntary aided school,Headteacher,Mrs Karen Smith,Waterloo Road,,,Brighouse,HD6 2AN,Brighouse,01484 712895,http://www.standrews.calderdale.sch.uk,No,226,45309,414210,423213,53.705171,-1.786221,East Calderdale,,,,100051997017
2037,St Augustine's CofE School,Primary,Academy sponsor led,,Mrs Ruth E Lee,Hanson Lane,,,Halifax,HX1 5PG,Park,01422 360615,https://www.st-augustines.uk/,No,163,45309,408195,425524,53.726071,-1.877271,North Halifax,LEARNING ACCORD MULTI ACADEMY TRUST,Learning Accord Multi Academy Trust,,010010176185
5203,"St John's (CofE) Primary Academy, Clifton",Primary,Academy converter,Principal,Daniel Chapman,Towngate,Clifton,,Brighouse,HD6 4HP,Brighouse,01484 713036,http://www.stjohnsacademyclifton.co.uk/,No,206,45309,416163,422798,53.701385,-1.756658,East Calderdale,"ST JOHN'S (CE) PRIMARY ACADEMY TRUST, CLIFTON",,,100051997566
3322,St John's Primary School In Rishworth,Primary,Academy converter,Headteacher,Headteacher Joanna Wasyliw,Godly Lane,Rishworth,,Sowerby Bridge,HX6 4QR,Ryburn,01422 822596,http://www.stjohnsrishworth.org.uk,No,147,45309,403214,418091,53.659314,-1.952841,Sowerby Bridge,"ST JOHN'S CHURCH OF ENGLAND PRIMARY SCHOOL, RISHWORTH",,,010010152598
3305,St Joseph's Catholic Primary Academy,Primary,Academy converter,Headteacher,Mrs Sue McManamin,Portland Road,,,Halifax,HX3 6LA,Northowram and Shelf,01422 360646,http://www.st-josephs.calderdale.sch.uk/,No,152,45309,409604,425821,53.728716,-1.855914,North Halifax,BLESSED PETER SNOW CATHOLIC ACADEMY TRUST,,,100052041216
3329,St Joseph's Catholic Primary Academy,Primary,Academy converter,Headteacher,Mrs Mary Hodges,Finkil Street,Hove Edge,,Brighouse,HD6 2NT,Brighouse,01484 713037,http://www.stjosephsbrighouse.org.uk,Yes,217,45309,413622,424274,53.714723,-1.795082,East Calderdale,BLESSED PETER SNOW CATHOLIC ACADEMY TRUST,,,100051997019
2029,St Joseph's Roman Catholic Voluntary Academy,Primary,Academy sponsor led,,Mrs Elizabeth Lloyd,Wellington Road,,,Todmorden,OL14 5HP,Todmorden,01706 812948,,Yes,111,45309,393662,424550,53.717342,-2.097516,Todmorden,ROMERO CATHOLIC ACADEMY TRUST,Romero Catholic Academy Trust,,010010161142
3306,"St Malachy's Catholic Primary School, A Voluntary Academy",Primary,Academy converter,Headteacher,Mrs Mary Hodges,Furness Place,Illingworth,,Halifax,HX2 8JY,Ovenden,01422 244628,http://www.stmalachysprimary.org.uk,Yes,171,45309,407097,427389,53.742848,-1.893877,North Halifax,BLESSED PETER SNOW CATHOLIC ACADEMY TRUST,,,010006745060
3308,St Mary's Catholic Primary Academy,Primary,Academy converter,Headteacher,Mrs Jenna Walker,Swires Road,,,Halifax,HX1 2ER,Skircoat,01422 362365,http://www.stmaryshalifax.co.uk/,No,302,45309,408642,424698,53.718639,-1.870526,Elland,BLESSED PETER SNOW CATHOLIC ACADEMY TRUST,,,010006731096
3011,St Mary's CofE (VC) J and I School,Primary,Voluntary controlled school,Headteacher,Ms Yvette Sullivan,Mill Bank,,,Sowerby Bridge,HX6 3EJ,Ryburn,01422 823353,http://www.st-marys.calderdale.sch.uk/,No,81,45309,403478,421340,53.688515,-1.948812,Sowerby Bridge,,,,010010182664
5202,St Michael and All Angels CofE Primary & Pre School,Primary,Foundation school,Headteacher,Mrs Claire Berry,Meadow Close,Greenacres Estate,Shelf,Halifax,HX3 7QU,Northowram and Shelf,01274 676246,http://www.st-michaelangels.calderdale.sch.uk/,No,180,45309,412779,428713,53.754641,-1.807674,East Calderdale,,,,010006732687
3327,St Patrick's Catholic Primary Academy,Primary,Academy converter,Headteacher,Mrs Alexandra Hudson-Crook,Hullen Edge Road,,,Elland,HX5 0QY,Elland,01422 373104,www.stpatselland.org.uk/,Yes,103,45309,409740,420775,53.683359,-1.854009,Elland,BLESSED PETER SNOW CATHOLIC ACADEMY TRUST,,,100052042797
2057,Stubbings Infant School,Primary,Community school,Executive Headteacher,Ms Lucy Caswell,School Street,,,Hebden Bridge,HX7 8BP,Calder,01422 842728,www.stubbingsinfantschool.co.uk/,Yes,59,45309,399382,427322,53.742293,-2.01085,Calder Valley,,,Hebden Bridge Schools Federation,100052044291
4008,The Brooksbank School,Secondary,Academy converter,,Mr Darren Atkinson,Victoria Road,,,Elland,HX5 0QG,Elland,01422 374791,https://www.thebrooksbankschool.co.uk/,No,1533,45309,410071,420542,53.681259,-1.849005,Secondary,TOGETHER LEARNING TRUST,Together Learning Trust,,100052042586
4022,The Calder Learning Trust,All-through,Foundation school,Headteacher,Mr Anthony Guise,Brier Hey Lane,Mytholmroyd,,Hebden Bridge,HX7 5QN,Luddendenfoot,01422 883213,https://www.calderlearningtrust.com,No,1326,45309,401726,426247,53.732628,-1.975317,Calder Valley,,,,100052043816
4022,The Calder Learning Trust,All-through,Foundation school,Headteacher,Mr Anthony Guise,Brier Hey Lane,Mytholmroyd,,Hebden Bridge,HX7 5QN,Luddendenfoot,01422 883213,https://www.calderlearningtrust.com,No,1326,45309,401726,426247,53.732628,-1.975317,Secondary,,,,100052043816
5401,The Crossley Heath School,Secondary,Academy converter,Headteacher,Mr Dean Jones,Savile Park,,,Halifax,HX3 0HG,Skircoat,01422 360272,http://www.crossleyheath.org.uk,No,1133,45309,408140,423921,53.711663,-1.878153,Secondary,THE CROSSLEY HEATH SCHOOL ACADEMY TRUST LIMITED,,,100052040490
2049,The Greetland Academy,Primary,Academy converter,Executive Principal,Mrs Helen Crowther,School Street,Greetland,,Halifax,HX4 8JB,Greetland and Stainland,01422 372893,www.greetlandacademy.org.uk,No,401,45309,408597,421403,53.689024,-1.871297,Elland,GREAT HEIGHTS ACADEMY TRUST,Great Heights Academy Trust,,100052042265
4035,The Halifax Academy,All-through,Academy converter,Headteacher,Mr Matt Perry,Gibbet Street,,,Halifax,HX2 0BA,Warley,01422 301080,http://www.thehalifaxacademy.org,No,1449,45309,407205,425229,53.724216,-1.89359,Secondary,IMPACT EDUCATION MULTI ACADEMY TRUST,Impact Education Multi Academy Trust,,010033882412
5400,The North Halifax Grammar School,Secondary,Academy converter,Principal,Mr Desmond Deehan,Moorbottom Road,Illingworth,,Halifax,HX2 9SU,Illingworth and Mixenden,01422 244625,http://www.nhgs.co.uk,No,1238,45309,407825,428815,53.755655,-1.882804,Secondary,THE NORTH HALIFAX GRAMMAR SCHOOL ACADEMY TRUST,,,100052040252
1101,The Whitley AP Academy,Alternative provision,Academy alternative provision converter,Headteacher,Mr Phillip Hannah,Whitley Phoenix Centre,,Moorbottom Road,Halifax,HX2 9SR,Illingworth and Mixenden,01422 244181,twapa.co.uk,No,66,45309,407940,428950,53.756852,-1.881054,Secondary,IMPACT EDUCATION MULTI ACADEMY TRUST,Impact Education Multi Academy Trust,,010095601956
3326,"Todmorden CofE J, I & N School",Primary,Voluntary aided school,Headteacher,Mrs Alice Leadbitter,Burnley Road,,,Todmorden,OL14 7BS,Todmorden,01706 812019,http://www.todmordenprimary.org.uk,Yes,249,45309,393502,424499,53.716878,-2.09994,Todmorden,,,,010010152791
4026,Todmorden High School,Secondary,Community school,Acting Headteacher,Miss Gill Shirt,Ewood Lane,,,Todmorden,OL14 7DG,Todmorden,01706 813558,http://www.todhigh.co.uk/,No,875,45309,392824,424888,53.720868,-2.11027,Secondary,,,,100052078442
3013,Triangle CofE VC Primary School,Primary,Voluntary controlled school,Headteacher,Mr Gavin Davies,Butterworth Lane,Triangle,,Sowerby Bridge,HX6 3NJ,Ryburn,01422 831558,http://www.triangleprimary.org.uk,No,188,45309,404309,422248,53.696667,-1.936216,Sowerby Bridge,,,,010033879746
2001,Trinity Academy Akroydon,Primary,Academy converter,Executive Principal,Mr Oliver Grant-Roberts,Rawson Street North,Boothtown,,Halifax,HX3 6PU,Town,01422 351291,https://akroydon.trinitymat.org/,Yes,254,45309,408888,408888,53.735406,-1.866745,North Halifax,TRINITY MULTI ACADEMY TRUST,Trinity Multi Academy Trust,,100052041029
4007,Trinity Academy Grammar,Secondary,Academy sponsor led,,Mrs Caroline Foster,Albert Road,,,Sowerby Bridge,HX6 2NW,Sowerby Bridge,01422 831011,https://grammar.trinitymat.org/,No,1617,45309,406128,424207,53.714257,-1.908633,Secondary,TRINITY MULTI ACADEMY TRUST,Trinity Multi Academy Trust,,100052043123
